Designator,Mid X,Mid Y,Rotation,Layer
C1,121.27,-111.825,270.0,top
C2,122.16,-111.825,270.0,top
C3,123.08,-111.81,270.0,top
C4,130.4325,-111.7975,90.0,top
C5,130.4425,-113.2975,270.0,top
C5X,128.96,-106.91,270.0,top
C6,131.2725,-113.3075,270.0,top
C6X,126.85,-106.91,270.0,top
D1,132.24,-109.56,270.0,top
D2,133.08,-109.565,270.0,top
D3,133.9,-109.57,270.0,top
F1,121.585,-110.01,0.0,top
J1,119.5,-124.5,0.0,top
J2,110.86,-101.88,0.0,top
J3,142.0,-102.0,180.0,top
J5,132.16,-118.19,270.0,top
J6,131.28,-122.8,0.0,top
Q1,118.7875,-111.035,0.0,top
R1,118.75,-118.5075,90.0,top
R1X,131.05,-106.8625,90.0,top
R2,120.25,-118.5375,90.0,top
R2X,136.3125,-106.29,180.0,top
R3,117.67,-118.4875,90.0,top
R4,121.28,-118.53,90.0,top
R5,123.925,-110.065,0.0,top
R6,131.3,-111.5975,90.0,top
R7,132.2,-111.58,270.0,top
R8,133.08,-111.59,270.0,top
SW1,122.795,-107.125,0.0,top
SW2,136.4,-110.41,90.0,top
U2,127.83,-112.3575,180.0,top
U5,126.7325,-90.155,0.0,top
